X Y Z TIME
 0.44159994E+04  0.90919649E+04  0.10001000E+03  0.00000000E+00 
 0.45123654E+04  0.91316786E+04  0.95010000E+02  0.67783852E+06 
 0.46033808E+04  0.91744373E+04  0.95010000E+02  0.14463037E+07 
 0.46938783E+04  0.92241487E+04  0.95010000E+02  0.23955842E+07 
 0.47795685E+04  0.92812496E+04  0.95010000E+02  0.35708839E+07 
 0.48572929E+04  0.93472161E+04  0.95010000E+02  0.50626104E+07 
 0.49230730E+04  0.94233688E+04  0.95010000E+02  0.70063753E+07 
 0.49732118E+04  0.95108361E+04  0.95010000E+02  0.96281977E+07 
 0.50502203E+04  0.95985931E+04  0.91451160E+02  0.12535626E+08 
 0.51502203E+04  0.96186121E+04  0.84387048E+02  0.12741122E+08 
 0.52502203E+04  0.96372918E+04  0.77392264E+02  0.12941401E+08 
 0.53502203E+04  0.96547524E+04  0.70464419E+02  0.13136720E+08 
 0.54502203E+04  0.96711007E+04  0.63601265E+02  0.13327320E+08 
 0.55502203E+04  0.96864318E+04  0.56800682E+02  0.13513423E+08 
 0.56502203E+04  0.97008309E+04  0.50060663E+02  0.13695237E+08 
 0.57502203E+04  0.97143741E+04  0.43379313E+02  0.13872954E+08 
 0.58502203E+04  0.97271300E+04  0.36754835E+02  0.14046756E+08 
 0.59502203E+04  0.97391600E+04  0.30185524E+02  0.14216811E+08 
 0.60502203E+04  0.97457291E+04  0.25624925E+02  0.14351345E+08 
 0.61502203E+04  0.97474157E+04  0.22976648E+02  0.14457172E+08 
 0.62502203E+04  0.97492035E+04  0.20248261E+02  0.14568988E+08 
 0.63502203E+04  0.97511052E+04  0.17432419E+02  0.14687513E+08 
 0.64502203E+04  0.97531356E+04  0.14520599E+02  0.14813602E+08 
 0.65502203E+04  0.97553130E+04  0.11502810E+02  0.14948288E+08 
 0.66502203E+04  0.97576594E+04  0.83672214E+01  0.15092829E+08 
 0.67502203E+04  0.97602024E+04  0.50996509E+01  0.15248781E+08 
 0.68502203E+04  0.97629769E+04  0.16828567E+01  0.15418102E+08 
 0.69502204E+04  0.97660275E+04 -0.17324407E+01  0.15603300E+08 
 0.70229795E+04  0.97684461E+04  0.70217941E+02  0.15710717E+08 
 0.47564105E+04  0.95297002E+04  0.10001000E+03  0.00000000E+00 
 0.48476583E+04  0.95743416E+04  0.95010000E+02  0.16271190E+07 
 0.49301169E+04  0.96323570E+04  0.95010000E+02  0.40681261E+07 
 0.49928021E+04  0.97108191E+04  0.95010000E+02  0.82268788E+07 
 0.51002695E+04  0.97411351E+04  0.87910376E+02  0.94295684E+07 
 0.52002695E+04  0.97548675E+04  0.80881326E+02  0.96324195E+07 
 0.53002695E+04  0.97676926E+04  0.73920389E+02  0.98301848E+07 
 0.54002695E+04  0.97796908E+04  0.67025250E+02  0.10023113E+08 
 0.55002695E+04  0.97909337E+04  0.60193725E+02  0.10211436E+08 
 0.56002695E+04  0.98014852E+04  0.53423752E+02  0.10395367E+08 
 0.57002695E+04  0.98114024E+04  0.46713381E+02  0.10575107E+08 
 0.58002695E+04  0.98207367E+04  0.40060767E+02  0.10750843E+08 
 0.59002695E+04  0.98295342E+04  0.33464160E+02  0.10922749E+08 
 0.60002695E+04  0.98378364E+04  0.26921901E+02  0.11090989E+08 
 0.61002695E+04  0.98397681E+04  0.24311147E+02  0.11194058E+08 
 0.62002695E+04  0.98418126E+04  0.21623577E+02  0.11302801E+08 
 0.63002695E+04  0.98439834E+04  0.18852351E+02  0.11417877E+08 
 0.64002695E+04  0.98462967E+04  0.15989567E+02  0.11540070E+08 
 0.65002695E+04  0.98487719E+04  0.13026007E+02  0.11670320E+08 
 0.66002695E+04  0.98514325E+04  0.99508122E+01  0.11809765E+08 
 0.67002695E+04  0.98543075E+04  0.67510503E+01  0.11959800E+08 
 0.68002695E+04  0.98574334E+04  0.34111111E+01  0.12122168E+08 
 0.69002695E+04  0.98608565E+04 -0.88132178E-01  0.12299080E+08 
 0.70002695E+04  0.98646372E+04 -0.21811397E+00  0.12493398E+08 
 0.70393702E+04  0.98656593E+04  0.95218115E+02  0.12507001E+08 
 0.49304365E+04  0.26383502E+05  0.10001000E+03  0.00000000E+00 
 0.50304365E+04  0.26404432E+05  0.10154986E+03  0.12801837E+06 
