#  X  Y  Z  time  pathlength  particle_steps
  7.0229795e+03    9.7684461e+03    7.0217941e+01    1.5710717e+07    2.8479204e+03     29
  7.0393702e+03    9.8656593e+03    9.5218115e+01    1.2507001e+07    2.4261368e+03     25
  5.0304365e+03    2.6404432e+04    1.0154986e+02    1.2801837e+05    1.0217845e+02      2
  4.7539190e+03    2.6091076e+04    1.0119970e+02    9.7742900e+04    1.0290142e+02      2
  4.7813062e+03    2.8048464e+04    1.0027162e+02    8.8933907e+05    5.1439688e+02      6
  4.5108855e+03    2.8008269e+04    1.0025822e+02    8.7378869e+05    5.2920188e+02      6
  5.6181204e+03    3.6992590e+04    8.6731647e+01    2.1443972e+06    1.9653858e+03     19
  5.1887390e+03    3.6971636e+04    8.6310357e+01    1.9256239e+06    1.6690436e+03     17
  4.5090641e+03    6.4955126e+04    9.5010000e+01    1.2763432e+08    4.0093219e+02      5
  4.5747428e+03    6.4997150e+04    9.5010000e+01    1.5864371e+07    2.0197108e+02      3
  4.8005950e+03    1.0362738e+05    9.6015828e+01    3.0775846e+06    1.2047216e+03     11
  4.2716457e+03    1.0368338e+05    9.5976131e+01    3.3404805e+06    1.3346714e+03     12
  4.3887065e+03    1.0495689e+05    7.8543384e+01    3.0042631e+06    2.8048042e+03     28
  4.2989673e+03    1.0497782e+05    7.8439374e+01    2.7403950e+06    2.4939166e+03     25
  3.9553871e+03    1.0867843e+05    9.7764306e+01    2.3757415e+05    5.7532816e+02      6
  3.9945289e+03    1.0845101e+05    1.0035802e+02    2.1309770e+05    4.5896492e+02      5
  4.1027552e+03    1.1297057e+05    9.1550307e+01    1.4206159e+06    1.8789181e+03     19
  4.1875432e+03    1.1296853e+05    1.0415395e+02    1.6271595e+06    2.1915739e+03     22
  4.1816903e+03    1.1297310e+05    1.0270449e+02    1.8161554e+06    2.5551125e+03     25
  3.9736016e+03    1.1529154e+05    8.0130465e+01    1.3476607e+05    3.2958998e+02      4
  3.9918364e+03    1.1579659e+05    1.0222874e+02    3.7705486e+05    7.5265801e+02      8
  3.9861242e+03    1.1629568e+05    1.0234348e+02    3.5411025e+05    6.6382277e+02      7
  4.8103208e+03    1.4676923e+05    1.0210660e+02    3.0562031e+04    1.0002668e+02      2
  4.5023055e+03    1.4863730e+05    1.0096656e+02    9.8456926e+04    1.0370136e+02      2
  4.5561088e+03    1.4878677e+05    1.0105547e+02    1.0622053e+05    1.0526816e+02      2
  4.7636081e+03    1.6396216e+05    1.0037424e+02    7.6316211e+05    1.3558477e+03     14
  4.5241837e+03    1.6396195e+05    8.5477688e+01    1.0618901e+06    1.9953227e+03     20
  3.9975539e+03    1.6738092e+05    9.5010000e+01    1.7119442e+06    5.4070655e+02      6
  3.2596420e+03    1.8604598e+05    6.8626144e+01    1.4118085e+07    5.3223973e+03     52
  3.5397232e+03    1.8607534e+05    9.6336555e+01    8.1463276e+06    5.0272954e+03     47
  3.4436141e+03    1.8606132e+05    9.7958374e+01    3.5145267e+06    4.2688053e+03     40
  4.2466974e+03    1.8599538e+05    9.9834527e+01    2.9336127e+06    3.6331864e+03     36
  4.2866445e+03    1.8598023e+05    9.9833091e+01    2.0501220e+06    3.1034748e+03     31
  3.9281037e+03    1.8410278e+05    1.0283776e+02    1.8570786e+05    4.3657769e+02      5
